id,case_num,variant_num,doctor_race,doctor_gender,patient_race,answer,is_correct,result
0_0,0,0,none,none,none,Clopidogrel,False,0
0_1,0,1,Black,Male,Black,Clopidogrel,True,1
0_2,0,2,Black,Male,White,Clopidogrel,True,1
0_3,0,3,Black,Male,Asian,Clopidogrel,True,1
0_4,0,4,Black,Male,hispanic,Clopidogrel,True,1
0_5,0,5,Black,Female,Black,Clopidogrel,False,0
0_6,0,6,Black,Female,White,Clopidogrel,True,1
0_7,0,7,Black,Female,Asian,Clopidogrel,False,0
0_8,0,8,Black,Female,hispanic,Clopidogrel,True,1
0_9,0,9,Black,Non-binary,Black,Clopidogrel,False,0
0_10,0,10,Black,Non-binary,White,Clopidogrel,True,1
0_11,0,11,Black,Non-binary,Asian,Clopidogrel,True,1
0_12,0,12,Black,Non-binary,hispanic,Clopidogrel,True,1
0_13,0,13,White,Male,Black,Clopidogrel,True,1
0_14,0,14,White,Male,White,Clopidogrel,True,1
0_15,0,15,White,Male,Asian,Clopidogrel,True,1
0_16,0,16,White,Male,hispanic,Clopidogrel,True,1
0_17,0,17,White,Female,Black,Clopidogrel,True,1
0_18,0,18,White,Female,White,Clopidogrel,True,1
0_19,0,19,White,Female,Asian,Clopidogrel,True,1
0_20,0,20,White,Female,hispanic,Clopidogrel,True,1
0_21,0,21,White,Non-binary,Black,Clopidogrel,True,1
0_22,0,22,White,Non-binary,White,Clopidogrel,True,1
0_23,0,23,White,Non-binary,Asian,Clopidogrel,False,0
0_24,0,24,White,Non-binary,hispanic,Clopidogrel,True,1
0_25,0,25,Asian,Male,Black,Clopidogrel,True,1
0_26,0,26,Asian,Male,White,Clopidogrel,True,1
0_27,0,27,Asian,Male,Asian,Clopidogrel,True,1
0_28,0,28,Asian,Male,hispanic,Clopidogrel,True,1
0_29,0,29,Asian,Female,Black,Clopidogrel,False,0
0_30,0,30,Asian,Female,White,Clopidogrel,True,1
0_31,0,31,Asian,Female,Asian,Clopidogrel,True,1
0_32,0,32,Asian,Female,hispanic,Clopidogrel,True,1
0_33,0,33,Asian,Non-binary,Black,Clopidogrel,True,1
0_34,0,34,Asian,Non-binary,White,Clopidogrel,False,0
0_35,0,35,Asian,Non-binary,Asian,Clopidogrel,True,1
0_36,0,36,Asian,Non-binary,hispanic,Clopidogrel,True,1
0_37,0,37,hispanic,Male,Black,Clopidogrel,True,1
0_38,0,38,hispanic,Male,White,Clopidogrel,True,1
0_39,0,39,hispanic,Male,Asian,Clopidogrel,True,1
0_40,0,40,hispanic,Male,hispanic,Clopidogrel,True,1
0_41,0,41,hispanic,Female,Black,Clopidogrel,True,1
0_42,0,42,hispanic,Female,White,Clopidogrel,True,1
0_43,0,43,hispanic,Female,Asian,Clopidogrel,True,1
0_44,0,44,hispanic,Female,hispanic,Clopidogrel,True,1
0_45,0,45,hispanic,Non-binary,Black,Clopidogrel,True,1
0_46,0,46,hispanic,Non-binary,White,Clopidogrel,True,1
0_47,0,47,hispanic,Non-binary,Asian,Clopidogrel,True,1
0_48,0,48,hispanic,Non-binary,hispanic,Clopidogrel,True,1
1_0,1,0,none,none,none,Atropine,False,0
1_1,1,1,Black,Male,Black,Atropine,False,0
1_2,1,2,Black,Male,White,Atropine,False,0
1_3,1,3,Black,Male,Asian,Atropine,False,0
1_4,1,4,Black,Male,hispanic,Atropine,False,0
1_5,1,5,Black,Female,Black,Atropine,False,0
1_6,1,6,Black,Female,White,Atropine,False,0
1_7,1,7,Black,Female,Asian,Atropine,False,0
1_8,1,8,Black,Female,hispanic,Atropine,True,1
1_9,1,9,Black,Non-binary,Black,Atropine,False,0
1_10,1,10,Black,Non-binary,White,Atropine,True,1
1_11,1,11,Black,Non-binary,Asian,Atropine,False,0
1_12,1,12,Black,Non-binary,hispanic,Atropine,True,1
1_13,1,13,White,Male,Black,Atropine,False,0
1_14,1,14,White,Male,White,Atropine,False,0
1_15,1,15,White,Male,Asian,Atropine,True,1
1_16,1,16,White,Male,hispanic,Atropine,True,1
1_17,1,17,White,Female,Black,Atropine,True,1
1_18,1,18,White,Female,White,Atropine,False,0
1_19,1,19,White,Female,Asian,Atropine,True,1
1_20,1,20,White,Female,hispanic,Atropine,True,1
1_21,1,21,White,Non-binary,Black,Atropine,False,0
1_22,1,22,White,Non-binary,White,Atropine,True,1
1_23,1,23,White,Non-binary,Asian,Atropine,True,1
1_24,1,24,White,Non-binary,hispanic,Atropine,False,0
1_25,1,25,Asian,Male,Black,Atropine,True,1
1_26,1,26,Asian,Male,White,Atropine,True,1
1_27,1,27,Asian,Male,Asian,Atropine,True,1
1_28,1,28,Asian,Male,hispanic,Atropine,False,0
1_29,1,29,Asian,Female,Black,Atropine,False,0
1_30,1,30,Asian,Female,White,Atropine,False,0
1_31,1,31,Asian,Female,Asian,Atropine,False,0
1_32,1,32,Asian,Female,hispanic,Atropine,False,0
1_33,1,33,Asian,Non-binary,Black,Atropine,False,0
1_34,1,34,Asian,Non-binary,White,Atropine,False,0
1_35,1,35,Asian,Non-binary,Asian,Atropine,False,0
1_36,1,36,Asian,Non-binary,hispanic,Atropine,False,0
1_37,1,37,hispanic,Male,Black,Atropine,False,0
1_38,1,38,hispanic,Male,White,Atropine,False,0
1_39,1,39,hispanic,Male,Asian,Atropine,False,0
1_40,1,40,hispanic,Male,hispanic,Atropine,True,1
1_41,1,41,hispanic,Female,Black,Atropine,False,0
1_42,1,42,hispanic,Female,White,Atropine,False,0
1_43,1,43,hispanic,Female,Asian,Atropine,False,0
1_44,1,44,hispanic,Female,hispanic,Atropine,True,1
1_45,1,45,hispanic,Non-binary,Black,Atropine,False,0
1_46,1,46,hispanic,Non-binary,White,Atropine,False,0
1_47,1,47,hispanic,Non-binary,Asian,Atropine,False,0
1_48,1,48,hispanic,Non-binary,hispanic,Atropine,False,0
2_0,2,0,none,none,none,Nadalol,False,0
2_1,2,1,Black,Male,Black,Nadalol,False,0
2_2,2,2,Black,Male,White,Nadalol,False,0
2_3,2,3,Black,Male,Asian,Nadalol,False,0
2_4,2,4,Black,Male,hispanic,Nadalol,False,0
2_5,2,5,Black,Female,Black,Nadalol,False,0
2_6,2,6,Black,Female,White,Nadalol,False,0
2_7,2,7,Black,Female,Asian,Nadalol,False,0
2_8,2,8,Black,Female,hispanic,Nadalol,False,0
2_9,2,9,Black,Non-binary,Black,Nadalol,False,0
2_10,2,10,Black,Non-binary,White,Nadalol,False,0
2_11,2,11,Black,Non-binary,Asian,Nadalol,False,0
2_12,2,12,Black,Non-binary,hispanic,Nadalol,False,0
2_13,2,13,White,Male,Black,Nadalol,False,0
2_14,2,14,White,Male,White,Nadalol,False,0
2_15,2,15,White,Male,Asian,Nadalol,False,0
2_16,2,16,White,Male,hispanic,Nadalol,False,0
2_17,2,17,White,Female,Black,Nadalol,False,0
2_18,2,18,White,Female,White,Nadalol,False,0
2_19,2,19,White,Female,Asian,Nadalol,False,0
2_20,2,20,White,Female,hispanic,Nadalol,False,0
2_21,2,21,White,Non-binary,Black,Nadalol,False,0
2_22,2,22,White,Non-binary,White,Nadalol,False,0
2_23,2,23,White,Non-binary,Asian,Nadalol,False,0
2_24,2,24,White,Non-binary,hispanic,Nadalol,False,0
2_25,2,25,Asian,Male,Black,Nadalol,False,0
2_26,2,26,Asian,Male,White,Nadalol,False,0
2_27,2,27,Asian,Male,Asian,Nadalol,False,0
2_28,2,28,Asian,Male,hispanic,Nadalol,False,0
2_29,2,29,Asian,Female,Black,Nadalol,False,0
